Institution,Data Science Node,Link,Category
Brandeis,Brandeis International Business School / data analytics specialization,https://www.brandeis.edu/global/academics/specializations/data-analytics/requirements.html,academic program
Brown,Institute for Computational and Experimental Research in Mathematics (ICERM),https://icerm.brown.edu/home/,center
Brown,Data Management Research Group [CS],http://database.cs.brown.edu/,group
Brown,Intel Science and Technology Center for Big Data [ISTC],http://istc-bigdata.org/index.php/about_istc/,group
Brown,The Digital Society,http://www.brown.edu/research/projects/digital-society/,group
Brown,Brown Computer Science,http://cs.brown.edu/about/,department 
CalTech,Center for Data Driven Discovery [CD3/JPL],http://cd3.caltech.edu/,center
CalTech,"The Social and Information Sciences Laboratory, Information Science & Technology",http://www.sisl.caltech.edu/,group
Columbia,Data Science Institute,http://datascience.columbia.edu/,center
Cornell,"Master of Professional Studies in Applied Statistics, Data Science",http://stat.cornell.edu/academics/mps,academic program
Dartmouth,Geisel School of Medicine Dept of Biomedical Data Science,https://geiselmed.dartmouth.edu/,department
Duke,Information Initiative at Duke [iiD],http://bigdata.duke.edu/,program
George Washington University,Data Science graduate degree,http://www.gwu.edu/data-science,academic program
Harvard,Data Science at the Institute for Quantitative Social Science,http://datascience.iq.harvard.edu/,group
Harvard,Strategic Data Project [Center for Education Policy & Research],http://sdp.cepr.harvard.edu/home,group
Harvard,Data Wise [HGSE],http://isites.harvard.edu/icb/icb.do?keyword=datawise,group
Indiana University,School of Informatics and Computing ,https://www.soic.indiana.edu/graduate/degrees/data-science/index.html,academic program
JHU,Institute for Data Intensive Engineering & Science [IDIES],http://idies.jhu.edu/,center
Leiden University,Leiden Centre of Data Science,http://research.leiden.edu/news/prince-constantijn-research-on-big-data-urgently-needed.html,center
Michigan State,"Compuational Math, Science, Engineering Department [CMSE]",https://cmse.natsci.msu.edu,department 
MIT,MIT Computer Science and Artificial Intelligence Laboratory [CSAIL],https://www.csail.mit.edu/,center
Northwestern,NUCATS Center for Data Science and Informatics [CDSI],http://nucats.northwestern.edu/centers-programs/cdsi,center
Northwestern,International Center for Advanced Internet Research [iCAIR],http://www.icair.org/,center
NYU,Center for Data Science,http://cds.nyu.edu/,center
Princeton,Center for Statistics and Machine Learning,http://csml.princeton.edu/about,center
RPI,Data Science Research Center,http://www.dsrc.rpi.edu/,center
RPI,IDEA: Rensselaer Institute for Data Exploration and Appliations,http://idea.rpi.edu/,center
RPI,Tetherless World Constellation,http://tw.rpi.edu/web/,group
Stanford,SDSI: Stanford Data Science Initiative,https://sdsi.stanford.edu/,center
Stanford,Stanford Data Insights Club,http://www.stanforddatascience.com/,group
Stanford,Stanford Experimental Data Center Laboratory,http://sedcl.stanford.edu/,group
Stanford,Stanford Electrical Engineering,https://ee.stanford.edu/research/data-science,group
UCB,Berkeley Institute for Data Science [BIDS],http://bids.berkeley.edu/,center
UCB,D-Lab,http://dlab.berkeley.edu/,center
UCB,Simons Institute,http://simons.berkeley.edu/,center
UCB,Designated Emphasis in Computational Data Science & Information [DE-CDSE],http://citris-uc.org/initiatives/decse/,group
UCB,Berkeley Quantum Information and Computation Center [BQIC],http://bqic.berkeley.edu/,group
UCB,AmpLab,https://amplab.cs.berkeley.edu/,group
UCB,Berkeley School of Information ,http://datascience.berkeley.edu/,center
UCD,Data Science Initiative,http://datascience.ucdavis.edu/,group
UChi,Computation Institute [CI],https://www.ci.uchicago.edu/,center
UCI,Data Science Initiative,http://datascience.uci.edu/about/,group
UCSC,"Data, Discovery, and Decisions (D3) Center",http://news.ucsc.edu/2015/05/data-science-center.html,center
UCSD,DS3: Data Science Student Society,http://ds3.ucsd.edu/,group
UF,Data Science Research Lab,http://dsr.cise.ufl.edu/,group
UIUC,Center for Informatics Research in Science and Scholarship [CIRSS],http://cirss.lis.illinois.edu/,center
UIUC,Research Park,http://researchpark.illinois.edu/careers/bud-lab-global-data-scientist,group
UMass,"Center for Data Science, College of Information and Computer Sciences",https://ds.cs.umass.edu/,center
UMass,"Institute for Computational Biology, Biostatistics, and Bioinformatics [ICB3]",http://www.umass.edu/icb3/home,group
UMass,Computational Social Science Institute,http://www.cssi.umass.edu/index.html,group
UMich,MIDAS: Michigan Institutute for Data Science,http://midas.umich.edu/,center
UMich,MICDE: Michigan Institutee for Computational Discovery & Engineering,http://micde.umich.edu/,program
"University of Technology, Eindhoven",Data Science Center Eindhoven,https://www.tue.nl/en/university/departments/mathematics-and-computer-science/research/research-institutes/data-science-center-eindhoven-dsce/,center
UPenn,The Warren Center for Network & Data Sciences,http://warrencenter.upenn.edu/,center
URoch,Goergen Institute for Data Science,http://www.rochester.edu/data-science/index.html,center
UT Arlington,Data-Driven Discovery,http://www.uta.edu/strategicplan/plan/themes/data.php,strategic plan
UVA,Data Science Institute [DSI],http://dsi.virginia.edu/,center
UWash,eScience ,http://escience.washington.edu/,center
UWash,Information School [iSchool],https://ischool.uw.edu/,center
UWash,Interactive Data Lab,http://idl.cs.washington.edu/,group
UWash,dub,http://dub.washington.edu/,group
UWash,Center for Statistics and the Social Sciences,https://www.csss.washington.edu/,center
UWash Tacoma,Center for Data Science,http://cwds.uw.edu/,center
WSU,Kno.e.sis,http://knoesis.wright.edu/,center
